device_time_stamp,system_time_stamp,left_gaze_point_on_display_area_x,left_gaze_point_on_display_area_y,left_gaze_point_in_user_coordinates_x,left_gaze_point_in_user_coordinates_y,left_gaze_point_in_user_coordinates_z,left_gaze_point_valid,left_gaze_point_available,left_pupil_diameter,left_pupil_valid,left_pupil_available,left_gaze_origin_in_user_coordinates_x,left_gaze_origin_in_user_coordinates_y,left_gaze_origin_in_user_coordinates_z,left_gaze_origin_valid,left_gaze_origin_available,left_eye_openness_diameter,left_eye_openness_valid,left_eye_openness_available,right_gaze_point_on_display_area_x,right_gaze_point_on_display_area_y,right_gaze_point_in_user_coordinates_x,right_gaze_point_in_user_coordinates_y,right_gaze_point_in_user_coordinates_z,right_gaze_point_valid,right_gaze_point_available,right_pupil_diameter,right_pupil_valid,right_pupil_available,right_gaze_origin_in_user_coordinates_x,right_gaze_origin_in_user_coordinates_y,right_gaze_origin_in_user_coordinates_z,right_gaze_origin_valid,right_gaze_origin_available,right_eye_openness_diameter,right_eye_openness_valid,right_eye_openness_available
2891813653,2942210832,0.4912415,0.4321376,-4.624483,169.29034,61.616585,TRUE,TRUE,3.2040253,TRUE,TRUE,-37.225685,-68.36525,656.60864,TRUE,TRUE,12.611145,TRUE,TRUE,0.50928867,0.4535691,4.904441,163.30908,59.439545,TRUE,TRUE,3.5317688,TRUE,TRUE,24.586792,-75.24177,659.7796,TRUE,TRUE,12.180511,TRUE,TRUE
2891821987,2942219166,0.49207705,0.43283427,-4.183309,169.09593,61.54579,TRUE,TRUE,3.1924438,TRUE,TRUE,-37.413364,-68.36645,656.5167,TRUE,TRUE,12.670944,TRUE,TRUE,0.5109187,0.45336717,5.7650833,163.36542,59.46007,TRUE,TRUE,3.5161285,TRUE,TRUE,24.411263,-75.25105,659.7401,TRUE,TRUE,11.5108795,TRUE,TRUE
2891830320,2942227499,0.4925867,0.43303013,-3.9141984,169.04126,61.525925,TRUE,TRUE,3.186142,TRUE,TRUE,-37.60864,-68.38373,656.4959,TRUE,TRUE,12.084198,TRUE,TRUE,0.51153874,0.449903,6.0924654,164.33224,59.811924,TRUE,TRUE,3.4996948,TRUE,TRUE,24.231398,-75.26164,659.6524,TRUE,TRUE,11.829239,TRUE,TRUE
2891838653,2942235833,0.4927406,0.43166894,-3.8329551,169.42116,61.664185,TRUE,TRUE,3.1694794,TRUE,TRUE,-37.786068,-68.410934,656.40485,TRUE,TRUE,12.63765,TRUE,TRUE,0.51200056,0.4513623,6.336335,163.92494,59.663715,TRUE,TRUE,3.4896393,TRUE,TRUE,24.039562,-75.27637,659.5188,TRUE,TRUE,12.155685,TRUE,TRUE
2891846987,2942244167,0.49553484,0.4434194,-2.3576086,166.14174,60.470547,TRUE,TRUE,3.149063,TRUE,TRUE,-37.9422,-68.47916,656.4374,TRUE,TRUE,12.861298,TRUE,TRUE,0.51079947,0.4688515,5.7021375,159.04395,57.887146,TRUE,TRUE,3.472229,TRUE,TRUE,23.864576,-75.33037,659.3077,TRUE,TRUE,12.220795,TRUE,TRUE
2891855320,2942252500,0.514013,0.482095,7.3988705,155.3478,56.54191,TRUE,TRUE,3.1452332,TRUE,TRUE,-38.04866,-68.56885,656.3026,TRUE,TRUE,12.595764,TRUE,TRUE,0.5351392,0.51336557,18.553524,146.62056,53.365417,TRUE,TRUE,3.4578705,TRUE,TRUE,23.69861,-75.40592,659.2923,TRUE,TRUE,11.834976,TRUE,TRUE
2891863653,2942260833,0.51018375,0.48261923,5.3770447,155.2015,56.48866,TRUE,TRUE,3.1266937,TRUE,TRUE,-38.19735,-68.6353,656.28625,TRUE,TRUE,12.616241,TRUE,TRUE,0.5313129,0.51769495,16.533209,145.41226,52.925644,TRUE,TRUE,3.4431152,TRUE,TRUE,23.509417,-75.45712,659.18024,TRUE,TRUE,12.567032,TRUE,TRUE
2891871987,2942269167,0.5047299,0.4757868,2.4974136,157.10834,57.18268,TRUE,TRUE,3.135086,TRUE,TRUE,-38.392864,-68.67695,656.1688,TRUE,TRUE,12.592224,TRUE,TRUE,0.5261821,0.5059775,13.824171,148.68246,54.115936,TRUE,TRUE,3.4435883,TRUE,TRUE,23.329578,-75.505936,659.1178,TRUE,TRUE,12.528198,TRUE,TRUE
2891880320,2942277500,0.50660694,0.47639024,3.4884396,156.93994,57.12138,TRUE,TRUE,3.1117554,TRUE,TRUE,-38.5931,-68.723366,656.0509,TRUE,TRUE,12.57428,TRUE,TRUE,0.525374,0.5042987,13.397476,149.151,54.286446,TRUE,TRUE,3.4409332,TRUE,TRUE,23.159721,-75.54931,659.0777,TRUE,TRUE,12.452347,TRUE,TRUE
2891888653,2942285833,0.5071428,0.47663027,3.7713883,156.87296,57.097004,TRUE,TRUE,3.102539,TRUE,TRUE,-38.780655,-68.77649,656.17755,TRUE,TRUE,12.620056,TRUE,TRUE,0.52679217,0.5027359,14.146244,149.58717,54.4452,TRUE,TRUE,3.4102783,TRUE,TRUE,22.99573,-75.57536,658.99036,TRUE,TRUE,12.437714,TRUE,TRUE
